fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,kickReturnYards,kickReturnTDs,kickReturns,team,home_away,points,game_id,season,week,season_type
2,0,4,0,2,1,9,62,1,1,19,7-15,2-2,318,230,24-35,6.6,88,37,2.4,0-0,3,2,1,13:25,,,,Missouri,home,27,252880142,2005,7,regular
1,0,4,0,4,1,7,57,1,3,17,6-19,2-2,306,228,17-32,6.6,96,49,2.0,0-0,3,1,2,23:06,,,,Oklahoma,away,19,252882305,2005,7,regular
1,0,44,0,3,0,3,0,0,2,6,1-12,0-2,97,108,11-30,2.9,11,22,0.5,0-0,4,1,3,13:14,,,,Kansas,home,3,252882305,2005,7,regular
1,2,11,0,2,1,5,0,0,1,18,5-12,1-1,334,238,14-33,6.3,127,34,3.7,0-0,8,4,4,14:11,,,,Oklahoma State,away,23,252880245,2005,7,regular
4,4,21,0,2,4,14,4,0,4,35,3-10,2-2,694,295,21-30,9.8,399,55,7.3,0-0,2,1,1,22:30,,,,Texas A&M,home,62,252880245,2005,7,regular
1,0,,,,,4,21,0,1,17,6-12,0-0,385,230,17-23,9.5,166,34,4.9,0-0,0,0,0,16:08,,,,San Diego State,away,28,252880254,2005,7,regular
0,2,35,0,6,0,7,,,,30,10-18,1-3,592,432,31-48,8.7,175,43,4.1,0-0,2,1,1,20:32,,,,Utah,home,19,252880254,2005,7,regular
1,0,,,,2,2,9,0,1,15,3-10,2-2,311,308,22-30,9.4,30,21,1.4,0-0,1,1,0,15:09,,,,Colorado State,away,14,252880252,2005,7,regular
1,2,3,0,2,1,6,,,,23,5-13,1-1,442,168,13-18,9.3,274,52,5.3,0-0,2,1,1,21:06,,,,BYU,home,24,252880252,2005,7,regular
0,3,12,0,2,0,9,23,0,2,24,9-20,4-4,355,123,13-22,5.4,237,66,3.6,0-0,2,2,0,23:10,,,,New Mexico,away,27,252882751,2005,7,regular
2,1,1,0,1,1,6,,,,14,2-11,1-2,307,215,19-35,6.1,93,19,4.9,0-0,2,0,2,13:31,,,,Wyoming,home,24,252882751,2005,7,regular
3,0,3,0,1,1,1,,,,14,4-11,0-1,217,239,19-26,8.3,2,25,0.1,0-0,3,1,2,16:36,,,,UNLV,away,7,252882005,2005,7,regular
1,6,32,0,4,0,6,12,0,2,30,8-10,0-1,412,96,10-12,8.0,316,64,4.9,0-0,3,3,0,20:11,,,,Air Force,home,42,252882005,2005,7,regular
0,2,,,,0,2,0,0,1,15,5-11,0-0,269,189,11-28,5.9,104,26,4.0,0-0,5,2,3,11:00,,,,Florida Atlantic,home,14,252882226,2005,7,regular
2,5,14,0,2,0,5,40,0,3,25,10-19,0-0,378,119,12-19,6.1,263,64,4.1,0-0,1,0,1,25:01,,,,Middle Tennessee,away,35,252882226,2005,7,regular
1,0,22,0,5,1,4,,,,18,4-12,0-0,322,271,20-32,7.6,79,27,2.9,0-0,9,7,2,15:44,,,,Florida International,home,10,252882229,2005,7,regular
7,0,7,0,1,1,7,7,0,1,11,1-14,0-0,226,99,10-15,5.3,147,48,3.1,0-0,1,1,0,20:32,,,,North Texas,away,13,252882229,2005,7,regular
5,3,21,0,5,1,4,0,0,1,15,0-10,0-1,348,134,9-21,6.0,223,40,5.6,0-0,1,1,0,16:00,,,,Cincinnati,home,28,252882132,2005,7,regular
1,0,16,0,5,2,5,,,,25,7-22,3-4,346,211,19-43,4.4,155,47,3.3,0-0,6,5,1,20:05,,,,Connecticut,away,17,252882132,2005,7,regular
4,1,57,0,5,5,14,10,0,1,19,6-15,0-2,351,285,24-39,7.1,73,31,2.4,0-0,1,0,1,17:20,,,,Southern Mississippi,home,52,252882572,2005,7,regular
0,1,26,0,4,3,,0,0,1,23,5-16,2-3,356,308,24-41,6.3,96,35,2.7,0-0,5,4,1,18:22,,,,UCF,away,31,252882572,2005,7,regular
1,1,48,0,4,1,8,40,0,1,19,7-19,1-3,502,408,26-45,8.8,106,36,2.9,0-0,2,2,0,16:43,,,,Houston,home,20,252880248,2005,7,regular
2,3,19,0,3,2,5,,,,20,5-14,0-1,427,112,7-12,9.3,315,56,5.6,0-0,2,1,1,19:54,,,,Memphis,away,35,252880248,2005,7,regular
0,2,34,0,2,0,5,24,0,1,18,8-15,0-0,354,226,19-37,5.7,143,34,4.2,0-0,5,1,4,14:55,,,,SMU,home,17,252882567,2005,7,regular
1,3,0,0,1,0,6,58,0,4,15,8-18,1-2,352,239,15-22,10.2,127,51,2.5,0-0,1,0,1,15:11,,,,East Carolina,away,24,252882567,2005,7,regular
0,2,10,0,4,1,2,2,0,1,16,6-15,0-1,248,107,14-28,3.5,149,35,4.3,0-0,1,0,1,16:09,,,,Marshall,home,20,252880276,2005,7,regular
0,1,20,0,5,1,7,28,0,1,22,4-15,0-1,432,245,20-35,7.0,187,37,5.1,0-0,1,0,1,19:50,,,,UAB,away,19,252880276,2005,7,regular
0,2,17,0,3,0,3,41,1,1,19,8-18,2-5,316,109,8-21,4.0,231,59,3.9,0-0,4,2,2,19:22,,,,Rice,home,21,252880242,2005,7,regular
2,3,14,0,3,1,5,6,0,2,18,5-10,0-0,383,207,18-24,8.5,178,34,5.2,0-0,1,0,1,17:05,,,,Tulsa,away,41,252880242,2005,7,regular
3,2,0,0,1,3,9,,,,17,6-16,0-0,427,290,22-32,8.7,149,35,4.3,0-0,0,0,0,18:02,,,,UTEP,away,45,252872655,2005,7,regular
0,0,4,0,3,3,3,,,,19,9-22,2-4,429,392,30-56,6.8,48,26,1.8,0-0,3,3,0,18:36,,,,Tulane,home,21,252872655,2005,7,regular
0,0,65,1,4,4,4,,,,16,5-11,0-1,351,357,16-21,15.1,34,33,1.0,0-0,4,4,0,15:07,,,,Miami,away,34,252880218,2005,7,regular
4,0,,,,0,3,,,,12,3-17,1-3,180,108,10-23,4.2,84,41,2.0,0-0,0,0,0,21:04,,,,Temple,home,3,252880218,2005,7,regular
0,2,5,0,3,0,5,0,0,1,22,9-17,1-1,362,260,22-40,6.3,110,34,3.2,0-0,3,0,3,16:55,,,,Army,away,17,252882628,2005,7,regular
0,3,71,0,4,2,8,68,0,3,26,9-15,0-0,403,225,22-30,7.3,184,48,3.8,0-0,1,0,1,19:04,,,,TCU,home,38,252882628,2005,7,regular
0,2,70,0,2,2,13,3,0,1,26,4-15,2-3,458,289,25-45,6.0,189,44,4.3,0-0,3,2,1,21:55,,,,Nevada,home,37,252882440,2005,7,regular
2,2,4,0,3,1,3,1,0,1,14,4-18,1-3,229,186,13-39,4.1,68,32,2.1,0-0,1,0,1,14:23,,,,Louisiana Tech,away,27,252882440,2005,7,regular
0,0,-4,0,3,2,3,-1,0,2,15,6-16,0-1,271,240,17-34,6.4,54,31,1.7,0-0,4,4,0,15:56,,,,San José State,away,21,252880068,2005,7,regular
4,4,10,0,4,1,8,,,,21,5-16,1-2,478,250,20-29,8.6,229,49,4.7,0-0,2,0,2,20:45,,,,Boise State,home,38,252880068,2005,7,regular
0,1,0,0,2,1,5,0,0,1,21,5-14,1-2,324,207,15-28,6.2,150,39,3.8,0-0,1,0,1,19:19,,,,Vanderbilt,home,17,252880238,2005,7,regular
0,1,23,0,2,3,10,35,0,1,18,7-16,0-1,446,304,15-32,9.3,148,34,4.4,0-0,1,0,1,17:21,,,,Georgia,away,34,252880238,2005,7,regular
0,1,1,0,3,2,3,,,,15,5-15,2-2,361,286,14-22,10.7,125,44,2.8,0-0,6,4,2,19:42,,,,LSU,home,21,252880099,2005,7,regular
4,2,5,0,5,0,5,16,0,2,11,2-16,0-1,206,140,11-30,3.6,99,32,3.1,0-0,0,0,0,16:21,,,,Florida,away,17,252880099,2005,7,regular
2,0,16,0,3,1,4,,,,14,7-18,0-0,279,210,19-33,6.4,69,30,2.3,0-0,2,1,1,19:59,,,,Ole Miss,home,10,252880145,2005,7,regular
1,1,9,0,4,0,7,39,0,1,17,7-16,0-1,355,247,22-37,6.3,121,30,4.0,0-0,2,2,0,16:33,,,,Alabama,away,13,252880145,2005,7,regular
1,1,0,0,2,3,10,0,0,1,28,8-13,0-0,436,227,17-26,7.8,233,52,4.5,0-0,2,0,2,22:10,,,,Auburn,away,34,252880008,2005,7,regular
0,2,27,0,1,0,5,22,0,2,16,3-11,1-2,322,174,17-28,6.2,148,30,4.9,0-0,2,1,1,14:30,,,,Arkansas,home,17,252880008,2005,7,regular
3,0,,,,7,7,0,0,1,34,7-12,0-2,628,534,40-59,9.0,97,18,5.4,0-0,2,1,1,16:34,,,,Hawai'i,home,49,252880062,2005,7,regular
1,2,,,,2,4,0,0,1,33,5-17,3-5,503,415,36-60,6.5,112,38,2.9,0-0,4,3,1,20:06,,,,New Mexico State,away,28,252880062,2005,7,regular
2,4,25,0,2,2,15,0,0,1,22,10-15,0-1,367,185,13-23,7.6,193,45,4.3,0-0,2,0,2,20:29,,,,Fresno State,home,53,252880278,2005,7,regular
0,2,,,,1,3,2,0,1,17,2-10,1-2,202,183,14-24,6.6,44,36,1.2,0-0,3,2,1,15:05,,,,Utah State,away,21,252880278,2005,7,regular
1,2,0,0,1,1,5,9,0,1,21,5-17,1-2,377,232,22-44,4.9,160,33,4.8,0-0,8,6,2,17:00,,,,Akron,away,23,252880193,2005,7,regular
6,4,32,0,3,3,9,0,0,2,26,5-12,0-0,580,341,23-38,8.7,248,37,6.7,0-0,2,1,1,19:20,,,,Miami (OH),home,51,252880193,2005,7,regular
2,2,78,1,2,2,7,0,0,1,16,2-12,0-1,432,275,17-26,10.6,157,36,4.4,0-0,0,0,0,15:39,,,,Central Michigan,home,37,252882117,2005,7,regular
0,0,2,0,3,1,4,,,,22,6-19,0-1,297,123,12-36,2.8,196,48,4.1,0-0,3,2,1,21:33,,,,Ohio,away,10,252882117,2005,7,regular
0,0,,,,1,2,7,0,2,14,3-11,1-2,190,91,11-19,4.0,114,40,2.8,0-0,3,1,2,16:37,,,,Ball State,home,14,252882050,2005,7,regular
1,1,0,0,2,3,4,21,1,2,24,7-13,1-3,472,241,18-30,8.0,231,45,5.1,0-0,2,0,2,16:45,,,,Toledo,away,34,252882050,2005,7,regular
2,2,8,0,2,1,6,8,0,1,17,5-13,1-3,434,132,15-23,5.2,315,53,5.9,0-0,3,1,2,20:10,,,,Northern Illinois,home,24,252882459,2005,7,regular
1,0,,,,0,6,-2,0,2,10,2-15,2-4,174,106,15-31,3.3,73,32,2.3,0-0,3,2,1,16:24,,,,Eastern Michigan,away,8,252882459,2005,7,regular
1,3,52,0,3,1,3,9,0,2,22,3-15,1-2,387,187,18-34,5.5,200,41,4.9,0-0,2,0,2,07:01,,,,Bowling Green,away,27,252882084,2005,7,regular
0,1,-1,0,4,0,1,1,0,2,16,7-16,0-2,311,147,10-22,5.1,198,47,4.2,0-0,3,1,2,18:26,,,,Buffalo,home,7,252882084,2005,7,regular
0,0,0,0,3,2,14,14,0,3,22,4-14,0-0,326,337,27-39,7.8,20,28,0.7,0-0,0,0,0,17:20,,,,Virginia,home,26,252880258,2005,7,regular
0,1,25,0,4,1,7,,,,26,11-18,0-0,472,383,35-59,6.4,95,21,4.5,0-0,3,0,3,15:27,,,,Florida State,away,21,252880258,2005,7,regular
2,1,1,0,3,1,12,43,1,3,17,8-23,1-2,327,211,21-32,6.0,134,51,2.6,0-0,0,0,0,21:39,,,,Wake Forest,away,30,252880103,2005,7,regular
0,1,42,0,4,4,5,,,,24,4-14,2-4,402,318,27-50,6.4,84,28,3.0,0-0,5,2,3,15:02,,,,Boston College,home,35,252880103,2005,7,regular
0,1,20,0,3,0,4,0,0,1,16,4-15,0-3,267,183,19-36,4.9,92,27,3.4,0-0,2,1,1,16:01,,,,NC State,home,10,252860152,2005,7,regular
1,2,1,0,2,2,7,24,0,1,23,7-15,1-2,489,246,22-31,7.9,243,41,5.9,0-0,1,0,1,20:32,,,,Clemson,away,31,252860152,2005,7,regular
1,0,12,0,5,1,4,5,0,1,13,1-16,2-2,271,108,9-30,3.0,181,42,4.3,0-0,3,1,2,18:11,,,,Duke,home,10,252880150,2005,7,regular
1,3,26,0,6,1,5,28,1,2,25,6-15,0-2,404,147,17-27,5.4,257,49,5.2,0-0,2,1,1,18:18,,,,Georgia Tech,away,35,252880150,2005,7,regular
2,2,7,0,2,3,7,0,0,1,21,2-9,0-0,458,205,10-20,9.7,264,41,6.4,0-0,0,0,0,14:15,,,,Arkansas State,home,39,252862032,2005,7,regular
0,5,,,,0,6,,,,28,14-19,2-2,554,97,10-17,5.7,457,66,6.9,0-0,3,2,1,21:32,,,,Louisiana,away,36,252862032,2005,7,regular
1,0,15,0,2,0,3,,,,20,5-13,1-2,328,210,15-29,6.0,154,43,3.6,0-0,5,3,2,20:06,,,,Troy,away,3,252882433,2005,7,regular
3,2,1,0,1,1,9,48,0,2,18,4-12,0-1,355,190,15-29,6.6,165,34,4.9,0-0,1,1,0,16:34,,,,Louisiana Monroe,home,27,252882433,2005,7,regular
0,0,11,0,6,1,3,,,,17,7-21,0-2,284,131,11-24,3.9,190,61,3.1,0-0,3,3,0,23:31,,,,Rice,home,9,252950242,2005,8,regular
3,5,5,0,3,0,11,,,,16,1-11,0-0,367,71,3-11,6.0,301,44,6.8,0-0,0,0,0,13:09,,,,Navy,away,41,252950242,2005,8,regular
1,4,,,,2,7,86,0,3,31,2-5,0-0,533,331,24-30,11.0,202,37,5.5,0-0,1,1,0,16:34,,,,Northwestern,away,49,252950127,2005,8,regular
1,1,,,,1,2,,,,28,6-17,2-2,480,291,24-46,6.3,189,43,4.4,0-0,4,1,3,19:15,,,,Michigan State,home,14,252950127,2005,8,regular
2,3,148,0,9,4,9,76,1,2,19,9-15,0-0,438,217,12-20,10.9,221,46,4.8,0-0,0,0,0,18:29,,,,Penn State,away,63,252950356,2005,8,regular
0,0,,,,1,4,,,,15,1-15,0-0,244,153,18-31,4.3,111,37,3.0,0-0,4,2,2,18:12,,,,Illinois,home,10,252950356,2005,8,regular
1,1,17,0,3,1,8,8,0,1,20,11-18,0-0,428,212,23-44,4.8,216,40,5.4,0-0,5,2,3,18:56,,,,Purdue,away,20,252950275,2005,8,regular
2,0,23,0,3,2,7,146,2,3,15,8-16,0-0,280,240,15-27,8.0,63,36,1.8,0-0,2,1,1,17:18,,,,Wisconsin,home,31,252950275,2005,8,regular
0,1,,,,2,5,11,0,1,19,3-12,1-1,342,220,15-22,10.0,122,41,3.0,0-0,2,1,1,18:22,,,,Michigan,away,23,252952294,2005,8,regular
1,0,26,0,4,2,8,20,0,1,23,5-16,0-0,427,304,27-39,7.4,139,38,3.7,0-0,1,0,1,18:03,,,,Iowa,home,20,252952294,2005,8,regular
1,0,8,0,5,0,4,63,0,1,8,3-17,0-0,137,116,15-33,2.9,42,26,1.6,0-0,2,1,1,16:15,,,,Indiana,home,10,252950084,2005,8,regular
1,2,110,1,6,1,11,57,1,1,22,2-13,0-0,478,259,15-24,9.9,240,48,5.0,0-0,2,1,1,20:26,,,,Ohio State,away,41,252950084,2005,8,regular
0,1,6,0,1,1,6,76,1,1,16,7-14,0-2,329,303,21-29,9.3,59,35,1.7,0-0,2,2,0,19:19,,,,Washington,home,24,252950264,2005,8,regular
2,1,90,1,2,5,9,,,,20,5-12,4-6,390,277,25-32,8.5,118,32,3.7,0-0,1,0,1,17:21,,,,USC,away,51,252950264,2005,8,regular
0,2,-6,0,3,2,4,,,,24,2-13,4-4,511,338,21-34,9.7,181,39,4.6,0-0,3,1,2,17:40,,,,Oregon State,away,28,252950026,2005,8,regular
1,0,63,0,2,6,15,35,0,2,20,5-14,0-1,497,271,16-25,10.5,235,45,5.2,0-0,0,0,0,19:01,,,,UCLA,home,51,252950026,2005,8,regular
0,2,27,0,2,3,9,26,1,1,19,3-9,0-1,369,316,19-27,11.2,66,33,2.0,0-0,0,0,0,17:06,,,,Stanford,home,45,252950024,2005,8,regular
0,1,6,0,5,3,3,,,,27,7-16,0-1,528,446,29-41,9.8,126,42,3.0,0-0,1,0,1,19:34,,,,Arizona State,away,35,252950024,2005,8,regular
1,0,7,0,3,5,6,9,0,2,20,8-19,0-2,601,446,18-39,10.8,178,38,4.7,0-0,2,0,2,15:17,,,,Washington State,away,38,252950025,2005,8,regular
0,1,25,0,5,4,6,54,1,2,24,5-15,2-2,548,291,19-35,7.8,274,48,5.7,0-0,3,1,2,21:09,,,,California,home,42,252950025,2005,8,regular
2,1,128,1,5,1,4,58,0,2,10,5-16,0-1,307,251,15-28,8.6,67,32,2.1,0-0,3,1,2,16:03,,,,Oregon,away,28,252950012,2005,8,regular
1,0,0,0,4,2,,39,0,2,19,8-20,1-3,411,226,22-41,4.9,212,37,5.7,0-0,4,2,2,20:37,,,,Arizona,home,21,252950012,2005,8,regular
1,2,36,0,5,1,10,38,1,4,22,8-18,0-0,378,211,18-28,7.2,177,50,3.5,0-0,4,3,1,21:29,,,,Pittsburgh,home,34,252950221,2005,8,regular
3,0,43,1,5,1,5,73,0,1,11,0-12,1-2,202,94,9-26,3.4,113,34,3.3,0-0,5,1,4,15:10,,,,Syracuse,away,17,252950221,2005,8,regular
0,1,50,0,2,2,6,15,0,2,17,6-17,0-0,293,229,18-35,5.6,97,33,2.9,0-0,1,0,1,17:01,,,,Connecticut,home,24,252950041,2005,8,regular
0,0,4,0,6,3,6,0,0,1,22,4-15,0-1,508,276,15-33,8.2,238,42,5.7,0-0,2,0,2,19:28,,,,Rutgers,away,26,252950041,2005,8,regular
1,4,8,0,4,1,11,3,0,1,25,5-17,2-3,523,293,22-38,6.5,277,49,5.7,0-0,3,2,1,20:54,,,,Missouri,home,41,252950142,2005,8,regular
2,1,37,0,4,2,6,0,0,1,13,3-14,0-2,279,324,22-43,6.5,-2,19,-0.1,0-0,3,1,2,15:46,,,,Nebraska,away,24,252950142,2005,8,regular
0,0,38,0,7,1,7,,,,22,10-21,0-3,354,319,27-55,5.3,61,34,1.8,0-0,4,1,3,20:28,,,,Kansas,away,13,252950038,2005,8,regular
1,0,146,2,5,4,6,7,0,3,14,4-14,1-3,304,200,18-30,6.7,104,29,3.6,0-0,0,0,0,15:46,,,,Colorado,home,44,252950038,2005,8,regular
1,3,27,0,4,1,4,0,0,2,22,8-22,1-2,372,152,15-31,4.4,236,56,4.2,0-0,1,0,1,23:14,,,,Texas A&M,away,30,252952306,2005,8,regular
0,0,28,1,4,,2,0,0,1,16,3-14,1-2,384,389,23-44,8.1,27,20,1.4,0-0,3,1,2,13:25,,,,Kansas State,home,28,252952306,2005,8,regular
1,1,5,0,2,0,4,,,,21,6-16,1-1,326,205,24-40,5.1,123,34,3.6,0-0,6,2,4,16:05,,,,Oklahoma State,away,10,252950066,2005,8,regular
2,3,,,,1,13,16,0,4,16,5-15,2-2,374,238,13-20,11.4,147,44,3.3,0-0,1,1,0,20:09,,,,Iowa State,home,37,252950066,2005,8,regular
0,0,6,0,3,2,5,39,0,2,29,5-16,2-3,468,420,42-64,5.8,99,29,3.4,0-0,2,1,1,21:55,,,,Texas Tech,away,17,252950251,2005,8,regular
1,3,123,0,6,2,10,0,0,1,21,4-10,0-1,444,239,12-22,10.9,205,40,5.1,0-0,2,0,2,14:39,,,,Texas,home,52,252950251,2005,8,regular
2,0,6,0,2,3,4,38,0,2,12,4-16,0-1,291,232,20-44,5.2,63,21,3.0,0-0,4,4,0,11:10,,,,Baylor,away,30,252950201,2005,8,regular
4,3,20,0,3,1,13,,,,28,8-20,0-0,474,294,24-42,6.4,205,53,3.9,0-0,4,2,2,25:13,,,,Oklahoma,home,37,252950201,2005,8,regular
1,1,8,0,4,3,8,,,,28,10-22,1-4,488,400,30-56,6.6,117,39,3.0,0-0,2,0,2,20:04,,,,UNLV,home,32,252952439,2005,8,regular
0,3,6,0,3,3,6,0,0,2,23,4-11,0-0,506,264,20-29,9.1,242,36,6.7,0-0,1,1,0,16:05,,,,Utah,away,42,252952439,2005,8,regular
0,0,15,0,3,6,7,86,1,2,27,6-11,0-0,511,471,32-41,11.4,44,23,1.9,0-0,2,2,0,16:21,,,,Notre Dame,home,49,252950087,2005,8,regular
2,1,47,0,4,2,5,,,,26,4-15,2-3,392,344,26-45,7.0,75,34,2.2,0-0,2,0,2,20:20,,,,BYU,away,23,252950087,2005,8,regular
0,0,100,0,6,4,7,0,0,1,25,2-11,1-1,467,329,25-39,8.0,155,30,5.2,0-0,5,3,2,15:05,,,,Wyoming,away,31,252950036,2005,8,regular
3,0,8,0,4,4,9,50,1,2,20,7-19,1-1,521,448,20-37,11.3,102,42,2.4,0-0,1,0,1,21:00,,,,Colorado State,home,39,252950036,2005,8,regular
0,3,45,0,5,3,11,27,0,3,33,13-22,1-1,534,248,21-32,7.8,286,63,4.5,0-0,2,1,1,23:17,,,,New Mexico,away,47,252950021,2005,8,regular
1,0,34,1,4,0,6,17,0,1,15,2-13,0-1,291,217,15-35,5.6,94,25,3.8,0-0,3,0,3,13:22,,,,San Diego State,home,24,252950021,2005,8,regular
0,5,3,0,3,2,6,0,0,2,24,9-15,1-2,546,326,22-32,10.2,220,42,5.2,0-0,0,0,0,15:39,,,,TCU,away,48,252952005,2005,8,regular
0,1,3,0,1,0,4,,,,24,4-14,3-3,387,155,11-22,6.7,239,55,4.3,0-0,2,0,2,21:12,,,,Air Force,home,10,252952005,2005,8,regular
1,2,24,0,4,0,1,,,,17,4-14,2-4,308,140,14-25,5.5,170,44,3.9,0-0,1,1,0,19:15,,,,Louisiana,away,13,252952393,2005,8,regular
1,1,8,0,3,0,4,,,,16,4-14,1-1,263,280,19-25,8.7,45,37,1.2,0-0,1,1,0,17:25,,,,Middle Tennessee,home,10,252952393,2005,8,regular
1,3,24,0,6,1,16,0,0,1,25,4-14,0-1,510,294,24-35,8.1,227,41,5.5,0-0,0,0,0,20:09,,,,Louisiana Tech,home,40,252952348,2005,8,regular
0,0,15,0,3,2,0,,,,15,2-11,0-0,287,113,10-23,4.3,188,36,5.2,0-0,3,1,2,16:32,,,,North Texas,away,14,252952348,2005,8,regular
0,4,38,0,2,0,4,6,0,2,25,5-10,0-1,497,219,14-23,9.2,286,48,6.0,0-0,4,1,3,18:36,,,,Virginia Tech,away,28,252930120,2005,8,regular
1,0,,,,1,3,44,0,3,16,4-15,0-0,254,186,14-30,5.3,96,33,2.9,0-0,2,0,2,18:05,,,,Maryland,home,9,252930120,2005,8,regular
3,0,8,0,3,3,2,,,,28,7-19,3-3,384,268,20-41,5.7,149,50,3.0,0-0,4,3,1,21:14,,,,Cincinnati,home,22,252952132,2005,8,regular
3,5,69,0,4,2,4,2,0,1,26,3-6,0-0,547,303,21-27,11.2,244,32,7.6,0-0,3,3,0,14:13,,,,Louisville,away,46,252952132,2005,8,regular
0,0,12,0,2,3,6,,,,24,6-10,0-0,440,369,27-47,7.7,80,18,4.4,0-0,5,1,4,13:13,,,,Tulane,away,24,252952116,2005,8,regular
1,2,34,0,2,2,10,43,0,4,23,7-16,1-1,488,202,18-31,6.5,286,48,6.0,0-0,0,0,0,23:13,,,,UCF,home,34,252952116,2005,8,regular
0,0,16,0,4,3,6,,,,20,3-12,1-2,343,297,26-46,6.5,46,16,2.9,0-0,0,0,0,13:46,,,,East Carolina,away,24,252950235,2005,8,regular
0,3,0,0,2,0,9,,,,20,6-16,1-1,457,125,10-14,8.4,340,63,5.4,0-0,0,0,0,22:55,,,,Memphis,home,27,252950235,2005,8,regular
0,1,-1,0,2,3,4,,,,23,4-13,1-1,487,418,29-42,9.7,80,28,2.9,0-0,1,0,1,17:33,,,,UAB,home,28,252940005,2005,8,regular
0,1,33,0,6,3,13,5,0,1,24,5-15,0-0,424,247,18-33,7.5,177,36,4.9,0-0,0,0,0,18:22,,,,Southern Mississippi,away,37,252940005,2005,8,regular
0,1,6,0,4,0,7,,,,18,3-14,0-1,337,235,20-32,7.0,114,36,3.2,0-0,3,2,1,16:58,,,,SMU,away,13,252950202,2005,8,regular
2,0,16,0,4,2,8,0,0,1,14,7-18,0-0,323,223,20-33,6.7,103,31,3.3,0-0,0,0,0,19:03,,,,Tulsa,home,20,252950202,2005,8,regular
1,1,11,0,2,0,10,,,,16,6-18,2-3,328,116,14-31,2.7,244,38,6.4,0-0,0,0,0,17:13,,,,Mississippi State,home,16,252950344,2005,8,regular
0,2,96,1,3,1,4,,,,19,6-15,1-1,370,239,20-29,7.5,152,37,4.1,0-0,1,1,0,10:00,,,,Houston,away,28,252950344,2005,8,regular
3,1,22,0,6,3,13,8,0,1,23,5-12,0-0,514,376,22-33,10.9,155,34,4.6,0-0,1,0,1,16:32,,,,Clemson,home,37,252950228,2005,8,regular
0,0,7,0,2,1,1,0,0,1,20,5-18,1-3,331,349,26-44,7.3,12,33,0.4,0-0,4,3,1,20:09,,,,Temple,away,7,252950228,2005,8,regular
1,2,108,1,5,1,8,27,0,1,20,7-15,0-1,384,238,21-34,6.7,156,35,4.5,0-0,2,2,0,18:23,,,,Fresno State,away,40,252950070,2005,8,regular
2,1,0,0,3,0,4,,,,14,4-16,0-2,210,157,18-30,4.0,89,35,2.5,0-0,2,1,1,17:24,,,,Idaho,home,10,252950070,2005,8,regular
0,0,12,0,3,3,3,,,,19,6-17,1-2,295,249,17-31,6.8,84,39,2.2,0-0,1,1,0,17:18,,,,Utah State,home,21,252950328,2005,8,regular
1,2,-4,0,3,4,9,,,,22,8-18,2-2,435,351,27-40,8.8,84,34,2.5,0-0,0,0,0,18:15,,,,Boise State,away,45,252950328,2005,8,regular
1,2,22,0,4,0,8,0,0,1,16,5-17,2-4,332,145,11-20,5.8,216,49,4.4,0-0,2,1,1,21:44,,,,Arkansas,away,20,252940061,2005,8,regular
1,1,39,0,4,1,11,0,0,1,14,3-11,0-0,217,179,11-19,8.7,52,30,1.7,0-0,2,1,1,14:56,,,,Georgia,home,23,252940061,2005,8,regular
3,0,-1,0,2,0,6,7,0,1,15,4-15,0-1,257,226,17-27,7.0,67,35,1.9,0-0,1,1,0,19:28,,,,Alabama,home,6,252950333,2005,8,regular
1,0,31,0,4,0,3,,,,12,4-13,0-1,253,144,11-19,7.6,109,35,3.1,0-0,4,3,1,17:07,,,,Tennessee,away,3,252950333,2005,8,regular
0,2,2,0,1,1,4,13,1,1,25,7-18,3-5,380,352,27-49,6.9,41,34,1.2,0-0,1,0,1,21:10,,,,Vanderbilt,away,28,252952579,2005,8,regular
0,1,12,0,3,4,5,32,0,1,20,3-9,0-1,399,273,18-31,8.6,132,30,4.4,0-0,1,0,1,15:30,,,,South Carolina,home,35,252952579,2005,8,regular
3,0,2,0,2,1,7,,,,18,8-20,0-1,361,198,19-38,5.2,163,39,4.2,0-0,0,0,0,21:39,,,,Ole Miss,home,13,252950145,2005,8,regular
0,1,24,0,4,0,1,,,,16,2-13,0-1,256,126,12-22,4.9,149,38,3.9,0-0,3,3,0,15:21,,,,Kentucky,away,7,252950145,2005,8,regular
0,0,65,1,2,1,8,,,,17,4-15,0-0,339,190,16-33,5.8,149,34,4.4,0-0,0,0,0,18:27,,,,LSU,home,20,252950099,2005,8,regular
0,1,19,0,4,1,5,,,,20,8-19,0-1,451,242,16-41,5.4,230,38,6.1,0-0,0,0,0,18:02,,,,Auburn,away,17,252950099,2005,8,regular
0,1,,,,2,5,29,0,2,20,4-15,2-4,386,143,19-27,5.0,251,41,6.1,0-0,0,0,0,17:03,,,,Eastern Michigan,home,23,252952199,2005,8,regular
0,1,19,0,4,2,6,,,,26,7-16,0-1,449,261,23-43,5.9,197,40,4.9,0-0,2,0,2,19:10,,,,Miami (OH),away,24,252952199,2005,8,regular
